id,title,description,status,value_amount,value_currency,main_ocid,main_id
40218, (NDABASE PRINTING SOLUTION),EME,active,10.0,ZAR,ocds-9t57fa-58575,ocds-9t57fa-58575-2023-06-30T00:00:00Z
20600,POPLAR TRADING 116,EME,active,100000.0,ZAR,ocds-9t57fa-59546,ocds-9t57fa-59546-2023-07-07T00:00:00Z
17209,MATAMELA ENTERPRISE,EME,active,5030968.0,ZAR,ocds-9t57fa-59575,ocds-9t57fa-59575-2023-07-07T00:00:00Z
22100,EVER CLEAN SERVICES,EME,active,5247571.0,ZAR,ocds-9t57fa-59647,ocds-9t57fa-59647-2023-07-07T00:00:00Z
20225,MRAZANE TRADING,GEN,active,8021848.0,ZAR,ocds-9t57fa-59704,ocds-9t57fa-59704-2023-07-07T00:00:00Z
20224,MRAZANE TRADING,GEN,active,8021848.0,ZAR,ocds-9t57fa-59704,ocds-9t57fa-59704-2023-07-07T00:00:00Z
27385, (CNP PROJECTS),EME,active,30329844.0,ZAR,ocds-9t57fa-60183,ocds-9t57fa-60183-2023-07-14T00:00:00Z
25268,The Gordon Institute of Business Science ,EME,active,13242942.0,ZAR,ocds-9t57fa-60253,ocds-9t57fa-60253-2023-07-14T00:00:00Z
25270,The Gordon Institute of Business Science ,EME,active,13242942.0,ZAR,ocds-9t57fa-60253,ocds-9t57fa-60253-2023-07-14T00:00:00Z
32319, (OCCUPROF),EME,active,9288184.0,ZAR,ocds-9t57fa-60296,ocds-9t57fa-60296-2023-07-14T00:00:00Z
18581,Linati Engineering ,EME,active,630660.0,ZAR,ocds-9t57fa-60309,ocds-9t57fa-60309-2023-07-14T00:00:00Z
25040,Top n Nos,QSE,active,2087136.0,ZAR,ocds-9t57fa-60318,ocds-9t57fa-60318-2023-07-14T00:00:00Z
25036,Top n Nos,QSE,active,1897396.0,ZAR,ocds-9t57fa-60318,ocds-9t57fa-60318-2023-07-14T00:00:00Z
24056,ZAMA TRAFFIC SIGNALS HIGH VOLTAGE SYSTEMS ,GEN,active,23660902.0,ZAR,ocds-9t57fa-60343,ocds-9t57fa-60343-2023-07-14T00:00:00Z
24057,ZAMA TRAFFIC SIGNALS HIGH VOLTAGE SYSTEMS,EME,active,23660902.0,ZAR,ocds-9t57fa-60343,ocds-9t57fa-60343-2023-07-14T00:00:00Z
18506,Nesoscope,EME,active,17910000.0,ZAR,ocds-9t57fa-60840,ocds-9t57fa-60840-2023-07-21T00:00:00Z
26568, (B L MATSANE),QSE,active,2524.0,ZAR,ocds-9t57fa-60903,ocds-9t57fa-60903-2023-07-21T00:00:00Z
26570, (JUGWANTH ATTORNEYS),QSE,active,1898.0,ZAR,ocds-9t57fa-60903,ocds-9t57fa-60903-2023-07-21T00:00:00Z
26562, (ABRAHAMS AND GROSS),QSE,active,2524.0,ZAR,ocds-9t57fa-60903,ocds-9t57fa-60903-2023-07-21T00:00:00Z
26578, (CHEADLE THOMPSON AND HAYSOM),GEN,active,2300.0,ZAR,ocds-9t57fa-60903,ocds-9t57fa-60903-2023-07-21T00:00:00Z
18113,MAAA0004383,GEN,active,200000000.0,ZAR,ocds-9t57fa-60999,ocds-9t57fa-60999-2023-07-21T00:00:00Z
18107,DOWN LOW CONSTRUCTION AND PROJECTS 32,QSE,active,200000000.0,ZAR,ocds-9t57fa-60999,ocds-9t57fa-60999-2023-07-21T00:00:00Z
18127,MOKGAGA CONSTRUCTION,EME,active,200000000.0,ZAR,ocds-9t57fa-60999,ocds-9t57fa-60999-2023-07-21T00:00:00Z
19289,EPI CREATIVE,EME,active,2623268.0,ZAR,ocds-9t57fa-61027,ocds-9t57fa-61027-2023-07-21T00:00:00Z
19288,EPI CREATIVE,EME,active,2623268.0,ZAR,ocds-9t57fa-61027,ocds-9t57fa-61027-2023-07-21T00:00:00Z
28841, (DE KOCK AND CRONJE),QSE,active,30000000.0,ZAR,ocds-9t57fa-61645,ocds-9t57fa-61645-2023-07-28T00:00:00Z
18317,FACHS BUSINESS CONSULTING AND TRAINING,EME,active,698000.0,ZAR,ocds-9t57fa-61673,ocds-9t57fa-61673-2023-07-28T00:00:00Z
28266, (HE AND SHE DRIVER TRAINING CENTRE),EME,active,940000.0,ZAR,ocds-9t57fa-61728,ocds-9t57fa-61728-2023-07-28T00:00:00Z
30105, (LEGEGERU INDUSTRIES),EME,active,1.0,ZAR,ocds-9t57fa-61735,ocds-9t57fa-61735-2023-07-28T00:00:00Z
21427,INDALO YETHU CONSTRUCTION AND PROJECTS,EME,active,182423.0,ZAR,ocds-9t57fa-61737,ocds-9t57fa-61737-2023-07-28T00:00:00Z
19718,Vestromix Civil and Construction ,EME,active,2149176.0,ZAR,ocds-9t57fa-61808,ocds-9t57fa-61808-2023-07-28T00:00:00Z
21895,MPILOSHKINS PROJECTS,EME,active,13886503.0,ZAR,ocds-9t57fa-61966,ocds-9t57fa-61966-2023-08-04T00:00:00Z
28584, (NEXUS FORENSIC SERVICES),EME,active,1.0,ZAR,ocds-9t57fa-62166,ocds-9t57fa-62166-2023-08-04T00:00:00Z
21294,DEEMAT ELECTRICAL,EME,active,4115959.0,ZAR,ocds-9t57fa-62466,ocds-9t57fa-62466-2023-08-04T00:00:00Z
21864,Trade Research advisory,EME,active,1216941.0,ZAR,ocds-9t57fa-62495,ocds-9t57fa-62495-2023-08-04T00:00:00Z
29700, (SISIPHO TRADING),EME,active,8808409.0,ZAR,ocds-9t57fa-62721,ocds-9t57fa-62721-2023-08-11T00:00:00Z
29779, (SISIPHO TRADING),EME,active,8808409.0,ZAR,ocds-9t57fa-62721,ocds-9t57fa-62721-2023-08-11T00:00:00Z
28621, (TILGHMAN ROTOBLAST AFRICA),EME,active,2589133.0,ZAR,ocds-9t57fa-62981,ocds-9t57fa-62981-2023-08-11T00:00:00Z
27863, (PHYSIO,EME,active,2182086.0,ZAR,ocds-9t57fa-63011,ocds-9t57fa-63011-2023-08-11T00:00:00Z
28458, (RAPITRADE 458),QSE,active,31000000.0,ZAR,ocds-9t57fa-63194,ocds-9t57fa-63194-2023-08-11T00:00:00Z
28451, (SAFMED),EME,active,31000000.0,ZAR,ocds-9t57fa-63194,ocds-9t57fa-63194-2023-08-11T00:00:00Z
28459, (MEDICAL PLANT AFRICA),EME,active,31000000.0,ZAR,ocds-9t57fa-63194,ocds-9t57fa-63194-2023-08-11T00:00:00Z
34644, (NKHALABA TRADING),EME,active,0,ZAR,ocds-9t57fa-63205,ocds-9t57fa-63205-2023-08-11T00:00:00Z
34640, (ACTOM),QSE,active,0,ZAR,ocds-9t57fa-63205,ocds-9t57fa-63205-2023-08-11T00:00:00Z
34642, (COENG CONSULTING AND CONSTRUCTION ENGINEERS),EME,active,0,ZAR,ocds-9t57fa-63205,ocds-9t57fa-63205-2023-08-11T00:00:00Z
19891,Kumanzima ,QSE,active,378300.0,ZAR,ocds-9t57fa-63907,ocds-9t57fa-63907-2023-08-18T00:00:00Z
32323, (BDS TRADING),EME,active,6570.0,ZAR,ocds-9t57fa-63939,ocds-9t57fa-63939-2023-08-18T00:00:00Z
19342,MAAA0803109,EME,active,234256495.0,ZAR,ocds-9t57fa-63955,ocds-9t57fa-63955-2023-08-18T00:00:00Z
44479, (PEEKAY TRADING),EME,active,4700817537.0,ZAR,ocds-9t57fa-64018,ocds-9t57fa-64018-2023-08-18T00:00:00Z
20952,HEALTH QUEST CONSULTANCY,EME,active,0.0,ZAR,ocds-9t57fa-64040,ocds-9t57fa-64040-2023-08-18T00:00:00Z
20923,ODIRE OCCUPATIONAL HEALTH,EME,active,0.0,ZAR,ocds-9t57fa-64040,ocds-9t57fa-64040-2023-08-18T00:00:00Z
23272,IX ENGINEERS,EME,active,0,ZAR,ocds-9t57fa-64109,ocds-9t57fa-64109-2023-08-18T00:00:00Z
23273,ZEAL ENGINEERNG CONSULTANTS,EME,active,0,ZAR,ocds-9t57fa-64109,ocds-9t57fa-64109-2023-08-18T00:00:00Z
23275,BIGEN AFRICA SERVICES,EME,active,0,ZAR,ocds-9t57fa-64109,ocds-9t57fa-64109-2023-08-18T00:00:00Z
25868, (QUANTEC ENTERPRISES),EME,active,1467180.0,ZAR,ocds-9t57fa-64688,ocds-9t57fa-64688-2023-08-24T00:00:00Z
19286,BUREAU VERITAS (SOUTH AFRICA),QSE,active,4260175.0,ZAR,ocds-9t57fa-64799,ocds-9t57fa-64799-2023-08-25T00:00:00Z
19287,TUV RHEINLAND INSPECTION SERVICES,GEN,active,703455.0,ZAR,ocds-9t57fa-64799,ocds-9t57fa-64799-2023-08-25T00:00:00Z
19957,DIG DEEPER CONTRACTORS,QSE,active,156440.0,ZAR,ocds-9t57fa-65563,ocds-9t57fa-65563-2023-09-01T00:00:00Z
47993,LEXY H WORLD,GEN,active,460631125.0,ZAR,ocds-9t57fa-65619,ocds-9t57fa-65619-2023-09-01T00:00:00Z
47970,STAR TIME TRADING,GEN,active,164900428.0,ZAR,ocds-9t57fa-65636,ocds-9t57fa-65636-2023-09-01T00:00:00Z
36842, (MOKIBELO INVESTMENT HOLDINGS),GEN,active,380783797.0,ZAR,ocds-9t57fa-65644,ocds-9t57fa-65644-2023-09-01T00:00:00Z
24579,T C T CIVIL AND CONSTRUCTION,EME,active,180476348.0,ZAR,ocds-9t57fa-65698,ocds-9t57fa-65698-2023-09-01T00:00:00Z
20998,The ETD Specialists,EME,active,307700.0,ZAR,ocds-9t57fa-65748,ocds-9t57fa-65748-2023-09-01T00:00:00Z
28577, (PEDION TECHNOLOGIES),EME,active,44807824.0,ZAR,ocds-9t57fa-65763,ocds-9t57fa-65763-2023-09-01T00:00:00Z
