id,name,main_ocid,main_id,tender_id
86,ASK Afrika (Pty) Ltd; Enterprises University of Pretoria (Pty) Ltd;  Ernst & Young Advisory Services; Infinity 123 (Pty) Ltd;  KPMG Services Proprietary Limited;  Masegare and Associates  Incorporated;  NPS Management Solutions;   Redflank Solution (Pty) Ltd;  Reworx Construction Projects;  Wolpe Strategic Economic Consulting Cc,ocds-9t57fa-2514,ocds-9t57fa-2514-2021-06-18T00:00:00Z,2514
3430,BBEnergy Pty Ltd,ocds-9t57fa-2857,ocds-9t57fa-2857-2021-06-25T00:00:00Z,2857
1110,1.Tau Pele Construction (Pty) Ltd  - R311 300 000.00,ocds-9t57fa-8173,ocds-9t57fa-8173-2021-10-01T00:00:00Z,8173
3703,Learning Ahead Skills,ocds-9t57fa-8224,ocds-9t57fa-8224-2021-10-01T00:00:00Z,8224
1295,ALOK ENGINEERING (PTY) LTD,ocds-9t57fa-8723,ocds-9t57fa-8723-2021-10-08T00:00:00Z,8723
192,Binory Innovative Technology Solutions (Pty) Ltd,ocds-9t57fa-3516,ocds-9t57fa-3516-2021-07-09T00:00:00Z,3516
105,42020 Vision Training and  Consulting;  Anderson Leadership Consulting;  Authentic Organizations;  Connemara Consulting (Pty) Ltd; Ernst &Young Adversary Services;  Nabantu Partners;  Phelekeza Psychomotor (Pty) Ltd;  PricewaterhouseCoopers Inc.; Siyaphambili Coaching and Consulting Services;   Summat Training Institute;  The Skills Authority;  Zenande Leadership Consulting ,ocds-9t57fa-3590,ocds-9t57fa-3590-2021-07-09T00:00:00Z,3590
263,Geospace International (PTY) LTD,ocds-9t57fa-4789,ocds-9t57fa-4789-2021-08-13T00:00:00Z,4789
2210,Satguru Corporate Travel (Pty) Ltd        ,ocds-9t57fa-6672,ocds-9t57fa-6672-2021-09-11T00:00:00Z,6672
2217,Sandra Gold Consulting (Pty) Ltd     ,ocds-9t57fa-6672,ocds-9t57fa-6672-2021-09-11T00:00:00Z,6672
3493,Leafy Space,ocds-9t57fa-8195,ocds-9t57fa-8195-2021-10-08T00:00:00Z,8195
1558,INTSIMBI INDUSTRIAL MANUFACTURING & ENGINEERING SUPPLIES CC,ocds-9t57fa-9386,ocds-9t57fa-9386-2021-10-15T00:00:00Z,9386
1018,Mmamotse Consulting,ocds-9t57fa-971,ocds-9t57fa-971-2021-05-14T00:00:00Z,971
1271,"Altron Nexus Solutions, a division of Altron Nexus (Pty) Ltd",ocds-9t57fa-10361,ocds-9t57fa-10361-2021-10-29T00:00:00Z,10361
1272,Business Connexion (Pty) Ltd ,ocds-9t57fa-10361,ocds-9t57fa-10361-2021-10-29T00:00:00Z,10361
2607,Geo-Vul Constructions and General Trading,ocds-9t57fa-10931,ocds-9t57fa-10931-2021-11-05T00:00:00Z,10931
3287,MAAA0008140,ocds-9t57fa-11871,ocds-9t57fa-11871-2021-11-19T00:00:00Z,11871
3977,AEIM Chemicals Pty Ltd,ocds-9t57fa-13049,ocds-9t57fa-13049-2021-11-26T00:00:00Z,13049
1608,Prozone Vikela Security,ocds-9t57fa-13475,ocds-9t57fa-13475-2021-12-03T00:00:00Z,13475
1796,Benchmark Consultancy (Pty) Ltd,ocds-9t57fa-13524,ocds-9t57fa-13524-2021-12-03T00:00:00Z,13524
282,Louise Mulholland ,ocds-9t57fa-136,ocds-9t57fa-136-2021-04-23T00:00:00Z,136
3920,Akasia Healthcare,ocds-9t57fa-14050,ocds-9t57fa-14050-2021-12-10T00:00:00Z,14050
3098,XCELL ENVIRONMENTAL SERVICES,ocds-9t57fa-1589,ocds-9t57fa-1589-2021-05-27T00:00:00Z,1589
3789,GladAfrica Consulting Engineers (Pty) Ltd,ocds-9t57fa-2885,ocds-9t57fa-2885-2021-06-25T00:00:00Z,2885
3790,Nexor 312 (Pty) Ltd t/a VNA Consulting,ocds-9t57fa-2885,ocds-9t57fa-2885-2021-06-25T00:00:00Z,2885
889,REVIVE ELECTRICAL TRANSFORMERS (PTY) LTD,ocds-9t57fa-5662,ocds-9t57fa-5662-2021-08-27T00:00:00Z,5662
890,MEMOTEK TRADING CC,ocds-9t57fa-5662,ocds-9t57fa-5662-2021-08-27T00:00:00Z,5662
891,JOCASTRO WESTERN CAPE (PTY) LTD,ocds-9t57fa-5662,ocds-9t57fa-5662-2021-08-27T00:00:00Z,5662
2610,Dimension Data (Pty) Ltd,ocds-9t57fa-5904,ocds-9t57fa-5904-2021-09-03T00:00:00Z,5904
2611,"Dimension Data (Pty) Ltd, Mpho To Maeong (Pty) Ltd, Afrocentric Intellectual Property (Pty) Ltd",ocds-9t57fa-5904,ocds-9t57fa-5904-2021-09-03T00:00:00Z,5904
2614,MAAA0030447,ocds-9t57fa-5904,ocds-9t57fa-5904-2021-09-03T00:00:00Z,5904
2703,Tsela Tsewu Consultants (Pty) Ltd,ocds-9t57fa-7775,ocds-9t57fa-7775-2021-09-24T00:00:00Z,7775
1112,1.Quality Plant Hire Expectra 388 CC JV - R252 898 672.01,ocds-9t57fa-8780,ocds-9t57fa-8780-2021-10-08T00:00:00Z,8780
1116,5.Raubex Construction (Pty) Ltd - R335 622 133.61,ocds-9t57fa-8780,ocds-9t57fa-8780-2021-10-08T00:00:00Z,8780
1117,6. MMT Group Joint Venture - R230 257 878.67,ocds-9t57fa-8780,ocds-9t57fa-8780-2021-10-08T00:00:00Z,8780
