id,name,main_ocid,main_id,awards_id
0,Process Control And Integration Technology,ocds-9t57fa-17247,ocds-9t57fa-17247-2022-02-11T00:00:00Z,9374
0,Nkomishana Trading and Projects,ocds-9t57fa-17277,ocds-9t57fa-17277-2022-02-11T00:00:00Z,3935
0,SKOTANE DEVELOPMENT CONSULTANTS,ocds-9t57fa-17306,ocds-9t57fa-17306-2022-02-11T00:00:00Z,4026
0,ORACLE ENERGY AND POWER,ocds-9t57fa-18604,ocds-9t57fa-18604-2022-02-25T00:00:00Z,4257
0,Smart Check Technology,ocds-9t57fa-19489,ocds-9t57fa-19489-2022-03-19T00:00:00Z,4542
0,Ithuba Valves and Industrial Supplies,ocds-9t57fa-20199,ocds-9t57fa-20199-2022-04-08T00:00:00Z,6491
0,Newfil Consultancy,ocds-9t57fa-20226,ocds-9t57fa-20226-2022-04-08T00:00:00Z,8843
0,GIJIMA HOLDINGS,ocds-9t57fa-20409,ocds-9t57fa-20409-2022-04-14T00:00:00Z,4562
0,PETRA ANDRE VAN RENSBURG,ocds-9t57fa-20668,ocds-9t57fa-20668-2022-04-22T00:00:00Z,4084
0,WPM CONSULTING,ocds-9t57fa-20772,ocds-9t57fa-20772-2022-04-22T00:00:00Z,8706
0,ACTOM,ocds-9t57fa-21270,ocds-9t57fa-21270-2022-05-06T00:00:00Z,6872
0,S S R SECURITY,ocds-9t57fa-22626,ocds-9t57fa-22626-2022-05-28T00:00:00Z,15506
0,ALEXANDER MAINTENANCE AND ELECTRICAL SERVICES,ocds-9t57fa-23459,ocds-9t57fa-23459-2022-06-10T00:00:00Z,4397
0,MARS HEALTHCARE,ocds-9t57fa-24102,ocds-9t57fa-24102-2022-06-24T00:00:00Z,16057
0,PDT IRONMONGERY SUPPLIERS,ocds-9t57fa-24150,ocds-9t57fa-24150-2022-06-17T00:00:00Z,7304
0,Global Computing and Telecoms,ocds-9t57fa-24192,ocds-9t57fa-24192-2022-06-17T00:00:00Z,5024
0,Labware Africa,ocds-9t57fa-24233,ocds-9t57fa-24233-2022-06-18T00:00:00Z,19736
0,DILLAN PIETERSEN,ocds-9t57fa-24714,ocds-9t57fa-24714-2022-06-24T00:00:00Z,5007
0,MEDIA24,ocds-9t57fa-24741,ocds-9t57fa-24741-2022-06-24T00:00:00Z,5577
0,NESO SCOPE HOLDINGS,ocds-9t57fa-24760,ocds-9t57fa-24760-2022-06-24T00:00:00Z,4846
0,MODISE MABULE,ocds-9t57fa-24830,ocds-9t57fa-24830-2022-06-24T00:00:00Z,6823
0,Freezer link Frozen Foods,ocds-9t57fa-24846,ocds-9t57fa-24846-2022-06-24T00:00:00Z,4667
0,MAJESTIC GENERAL TRADERS,ocds-9t57fa-24849,ocds-9t57fa-24849-2022-06-24T00:00:00Z,12271
0,Ernst and Young Advisory Services ,ocds-9t57fa-25440,ocds-9t57fa-25440-2022-07-01T00:00:00Z,6022
0,LAROPRO,ocds-9t57fa-25890,ocds-9t57fa-25890-2022-07-08T00:00:00Z,9439
0,ASIKA CONSULTING,ocds-9t57fa-26599,ocds-9t57fa-26599-2022-07-15T00:00:00Z,4432
0,POWERCOMM SOLUTIONS,ocds-9t57fa-27138,ocds-9t57fa-27138-2022-07-22T00:00:00Z,15542
0,MATDOC PROJECTS,ocds-9t57fa-27165,ocds-9t57fa-27165-2022-07-22T00:00:00Z,9272
0,Thamani Technologies and Systems ,ocds-9t57fa-27205,ocds-9t57fa-27205-2022-07-22T00:00:00Z,10903
0,MANYA CONSTRUCTION ,ocds-9t57fa-27267,ocds-9t57fa-27267-2022-07-23T00:00:00Z,5416
0,AP DEVELOPMENT,ocds-9t57fa-28713,ocds-9t57fa-28713-2022-08-05T00:00:00Z,5773
0,SYNERGY GREENHOUSES,ocds-9t57fa-28746,ocds-9t57fa-28746-2022-08-05T00:00:00Z,5696
0,DUCHARME ASSET MANAGEMENT AND ACCOUNTING,ocds-9t57fa-28864,ocds-9t57fa-28864-2022-01-08T00:00:00Z,3844
0,KEYSTONE ACTUARIAL SOLUTIONS,ocds-9t57fa-30063,ocds-9t57fa-30063-2022-08-19T00:00:00Z,8114
0,Fides Data Mon ,ocds-9t57fa-30098,ocds-9t57fa-30098-2022-08-19T00:00:00Z,10455
0,FIRSTRAND BANK,ocds-9t57fa-30153,ocds-9t57fa-30153-2022-08-19T00:00:00Z,12632
0,RHEOCHEM,ocds-9t57fa-30991,ocds-9t57fa-30991-2022-08-26T00:00:00Z,13014
94913, (ENHLE KHIDA TRADING AND PROJECTS),ocds-9t57fa-31023,ocds-9t57fa-31023-2022-08-26T00:00:00Z,32250
0,Maduna Protection Services,ocds-9t57fa-32010,ocds-9t57fa-32010-2022-09-03T00:00:00Z,7787
